nome,sku,quantidade,total,porcentagem_das_vendas
"Protetor solar facial Bioré Perfect Milk UV FPS50 40ml",BNW8DKB65,4,300,0.05
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Tea Tree",EWA76X3ET,4,33,0
"Sérum facial com microagulhamento VT Cosmetics Sangue de Dragão Red Booster Reedle Shot 100/300/700 50ml 700",J8MTQER4R,4,1977,0.3
"Sérum facial I'm From Rice 30ml",XSDT9P72U,4,773.3,0.12
"Tônico Mediheal Toner Pads Turquesa - Madecassoside blemish",NP93HRNZY,4,928.2,0.14
"Creme p/ olhos Fraijour Retin Collagen 3D Core Eye Cream 15ml",MS2FF2WDE,4,367.54,0.06
"Tônico facial calmante Abib Heartleaf Spot Toner Pad",9BP4ZKJ8U,4,1099.87,0.17
"Protetor solar líquido facial Haruharu Wonder Black Rice Moisture Airyfit Pure Mineral Relief Daily 50ml Black Rice Moisture Airyfit",FRBD8JBEN,4,677.46,0.1
"Base BB Cream Missha M Perfect Cover 50ml Nº 21 - Bege claro",72P3ZQFSY,4,599.6,0.09
"Sérum facial e Mist d'Alba White Truffle First Spray Serum 150ml",YFYE8RBRP,4,1353.24,0.2
"Protetor solar líquido House of Hur Weightless Sun Fluid 50ml",9AUY6MZLA,4,991.8,0.15
"Óleo capilar Kerasys Serum Extreme Damage Clinic 70ml",L6HZSE5D3,4,651.2,0.1
"Creme hidratante facial calmante Some By Mi Propolis B5 Glow Barrier Calming Cream 60g",NZ3WWRYVV,4,1099.88,0.17
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 25N (Mocha)",F3M3T6XGE,4,1471.63,0.22
"Sérum facial calmante com colágeno Celimax The Real Noni Energy Ampoule 50ml",98DEKEA3E,4,891,0.13
"Creme hidratante facial anti-idade com PDRN Rejuran Healer Turnover Active Cream 50ml",C67STN2SB,4,1099.63,0.17
"Tônico facial TIRTIR Milk Skin Toner Original e Light 150ml Original",WHBXYPNXX,4,960,0.15
"Sérum facial calmante com colágeno Celimax The Real Noni Energy Ampoule 30ml",4YSB4WFGQ,4,851,0.13
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 23N Sand",66KDAJ2JZ,4,1109.26,0.17
"Creme hidratante facial Dr. Althea 147/345 Relief Barrier Cream 50ml 345 - Relief Cream",H3QDCSCZN,4,1259.9,0.19
"Óleo reparador capilar Mise En Scene Perfect Serum 80ml Watery",E33RUVS9J,4,702.22,0.11
"Kit Viagem para Acne e Espinhas Some by Mi AHA BHA PHA 30 Days Miracle SOS Kit",NSS2RET6U,4,966.73,0.15
"Sérum facial com Retinol e Vitamina C Primera AG.VCN  Youth Radiance Vitatinol Serum 21g",J232X26MY,4,1258.6,0.19
"Sérum com Vitamina C Anua Green Lemon Vita C Blemish Serum 20ml",KZ23X3LLC,4,1089.7,0.16
"Sérum facial com microagulhamento e colágeno Medicube PDRN Pink Collagen Exosome Shot Ampoule 2000 e 7500 30ml 7500ppm",3NVAEU5KV,4,1679.2,0.25
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Green Tea",BTDZNWPEJ,4,59.98,0.01
"Sérum facial e Mist d'Alba White Truffle First Spray Serum 100ml",BSY3UHXD2,4,1034.62,0.16
"Tônico facial com colágeno Abib Jericho Rose Collagen Pad 60 pads",Z8S3J5RJP,4,1148.4,0.17
"Primer p/ maquiagem O.TWO.O Zero Pores 20ml",HN2DZ4QNG,4,630.72,0.1
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Tea Tree",EWA76X3ET,4,33,0
"Sérum facial clareador Numbuzin Nº 5 Goodbye Blemish Serum 50ml",2LZ3WX2HD,4,1120.2,0.17
"Tônico facial SKINFOOD Acorn Pore Peptide Toner Pad 250g",F6ETPV7M3,3,809.7,0.12
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 24N Latte",G3Y93A9ZN,3,803.46,0.12
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 13C (Fair)",MLHLK8WPJ,3,1199.7,0.18
